1, none, minecraft:the_void, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
2, none, minecraft:the_void, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
3, none, minecraft:the_void, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
4, none, minecraft:the_void, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
5, none, minecraft:the_void, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
6, none, minecraft:the_void, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
7, none, minecraft:the_void, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
8, none, minecraft:the_void, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
9, none, minecraft:the_void, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
10, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
11, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
12, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
13, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
14, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
15, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
16, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
17, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
18, plains, minecraft:plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
19, plains, minecraft:plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
20, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
21, plains, minecraft:plains, MONSTER, player_mobs:player_mob, 80, 4, 4
22, plains, minecraft:plains, MONSTER, rottencreatures:undead_miner, 20, 1, 4
23, plains, minecraft:plains, MONSTER, quark:toretoise, 80, 2, 4
24, plains, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
25, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 8, 8
26, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 8, 8
27, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 8, 8
28, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 8, 8
29, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
30, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
31, plains, minecraft:plains, CREATURE, earthmobsmod:fancy_chicken, 10, 3, 6
32, plains, minecraft:plains, CREATURE, earthmobsmod:duck, 10, 3, 6
33, plains, minecraft:plains, CREATURE, earthmobsmod:hyper_rabbit, 10, 3, 4
34, plains, minecraft:plains, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
35, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
36, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
